Massachusetts,6010884,5993474,5998652,6018664,6175169,6144407,6115476,6085393,6062335,6031352,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6995729,6989690,6981974
Michigan,9529240,9470323,9395022,9310462,9863775,9820231,9785450,9739184,9659871,9584481,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,10069577,10037504,10034113
Minnesota,4521709,4471503,4427429,4387283,4775508,4726411,4687726,4647723,4605445,4566028,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310934,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5709852,5711471,5717184
Mississippi,2635574,2610193,2591230,2577426,2768619,2751335,2731826,2709925,2690788,2663450,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970615,2979147,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2978227,2958141,2949586,2940057
Missouri,5237757,5193686,5157770,5126370,5468338,5437562,5407113,5367888,5324610,5281206,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996089,6011182,6026027,6042989,6059130,6075411,6091384,6111382,6125986,6140475,6153998,6169823,6177957
Montana,839876,822436,807837,799824,882779,879533,878706,876656,868522,854923,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990730,997518,1004168,1014158,1022657,1031495,1042137,1053862,1061818,1070123,1087075,1106227,1122867
Nebraska,1612149,1602406,1590805,1580664,1666028,1660772,1656042,1647657,1635142,1621551,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829591,1840914,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1932571,1962642,1963554,1967923
Nevada,1380197,1330694,1285046,1218629,1809253,1743772,1675581,1596476,1525777,1456388,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702483,2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3115648,3146402,3177772
New Hampshire,1122191,1112766,1107055,1111831,1201134,1185823,1173239,1160768,1145604,1133054,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316807,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1378587,1387505,1395231
New Jersey,7874891,7827770,7784269,7757158,8143412,8095542,8054178,8009624,7965523,7918796,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799451,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,9271689,9267961,9261699
